OBJECTID,POINT_X,POINT_Y
1001,-87.7856,41.93116
1002,-87.7258,41.89005
1003,-87.7275,41.95392
1004,-87.6675,41.90711
1005,-87.7459,41.90589
1006,-87.6242,41.87669
1007,-87.6313,41.90174
1008,-87.7243,41.83705
1009,-87.7055,41.86315
1010,-87.6739,42.00893
1011,-87.6045,41.72927
1012,-87.7108,41.87718
1013,-87.6149,41.75667
1014,-87.7876,41.9862
1015,-87.6068,41.82258
1016,-87.624,41.86914
1017,-87.6394,41.93869
1018,-87.6052,41.75668
1019,-87.6241,41.73657
1020,-87.7648,41.88047
1021,-87.6687,41.98369
1022,-87.5636,41.7136
1023,-87.7135,41.70612
1024,-87.7378,41.79315
1025,-87.7406,41.80774
1026,-87.6026,41.75136
1027,-87.6009,41.72216
1028,-87.8142,41.94522
1029,-87.7277,41.78595
1030,-87.5669,41.72626
1031,-87.6413,41.82908
1032,-87.6722,41.94504
1033,-87.6846,41.80837
1034,-87.6868,41.89057
1035,-87.7203,41.86615
1036,-87.6629,41.72111
1037,-87.6455,41.95458
1038,-87.6699,42.00911
1039,-87.6493,41.94737
1040,-87.7101,41.68416
1041,-87.6735,41.947
1042,-87.6666,41.88152
1043,-87.7367,41.93177
1044,-87.7661,41.93135
1045,-87.7261,41.90274
1046,-87.657,41.86948
1047,-87.6317,41.75819
1048,-87.7035,41.77905
1049,-87.6743,41.97616
1050,-87.7122,41.9174
1051,-87.6939,41.79375
1052,-87.6691,41.88149
1053,-87.7271,41.94631
1054,-87.6203,41.76555
1055,-87.6258,41.87577
1056,-87.6936,41.92072
1057,-87.6318,41.78901
1058,-87.6996,42.02132
1059,-87.6684,41.91905
1060,-87.6257,41.74192
1061,-87.5874,41.79818
1062,-87.6166,41.80372
1063,-87.6275,41.87488
1064,-87.7093,41.99913
1065,-87.6491,41.96735
1066,-87.7045,42.01179
1067,-87.7109,41.87357
1068,-87.7226,41.94635
1069,-87.6746,41.94684
1070,-87.6602,41.99813
1071,-87.7032,41.78436
1072,-87.6997,42.00656
1073,-87.7473,42.02932
1074,-87.7505,42.04092
1075,-87.6067,41.82036
1076,-87.7015,41.70983
1077,-87.6375,41.90217
1078,-87.702,41.7245
1079,-87.5472,41.65559
1080,-87.7672,41.95873
1081,-87.7153,41.86088
1082,-87.6244,41.87627
1083,-87.7119,41.9156
1084,-87.6738,42.00787
1085,-87.6319,41.7801
1086,-87.6298,41.76197
1087,-87.6097,41.6931
1088,-87.7979,42.05488
1089,-87.7857,41.93825
1090,-87.7031,41.93943
